symbol,block,txno,value,address
ETH,1540,0,5.0,0x1b7047b4338acf65be94c1a3e8c5c9338ad7d67c
ETH,3719,0,5.0,0xbb7b8287f3f0a933474a79eae42cbca977791171
ETH,6538,0,5.0,0xbb7b8287f3f0a933474a79eae42cbca977791171
ETH,8917,0,5.0,0x88d74a59454f6cf3b51ef6b9136afb6b9d405a88
ETH,7690,0,5.0,0x1b7047b4338acf65be94c1a3e8c5c9338ad7d67c
ETH,1665,0,5.0,0xd7e30ae310c1d1800f5b641baa7af95b2e1fd98c
ETH,9457,0,5.0,0xbb7b8287f3f0a933474a79eae42cbca977791171
ETH,4690,0,5.0,0x637a26be53e619aacd2f69d5c6f9594576293cd8
ETH,1838,0,5.0,0x51d8782d82258441078e57141daa8ffddaf8f57d
ETH,1538,0,5.0,0xbb7b8287f3f0a933474a79eae42cbca977791171
ETH,7216,0,5.0,0x4f85e43f44d2b0e6f57c9355806ce3e1b3f40ab8
ETH,5147,0,5.0,0xf927a40c8b7f6e07c5af7fa2155b4864a4112b13
ETH,3013,0,5.0,0x28921e4e2c9d84f4c0f0c0ceb991f45751a0fe93
ETH,6238,0,5.0,0xbb7b8287f3f0a933474a79eae42cbca977791171
ETH,8343,0,5.0,0xbb7b8287f3f0a933474a79eae42cbca977791171
ETH,938,0,5.0,0xbb7b8287f3f0a933474a79eae42cbca977791171
ETH,4351,0,5.0,0x28921e4e2c9d84f4c0f0c0ceb991f45751a0fe93
ETH,8497,0,5.0,0x9298a283561414096a90b8e52c2202d03f3406a9
ETH,5616,0,5.0,0xbb7b8287f3f0a933474a79eae42cbca977791171
ETH,1604,0,5.0,0xc1cdc601f89c0428b31302d187e0dc08ad7d1c57
ETH,4566,0,5.0,0xbb7b8287f3f0a933474a79eae42cbca977791171
ETH,6250,0,5.0,0xf927a40c8b7f6e07c5af7fa2155b4864a4112b13
ETH,8354,0,5.0,0x5088d623ba0fcf0131e0897a91734a4d83596aa0
ETH,7377,0,5.0,0x7faa8079222be817f259a9b359e37915cebe3605
ETH,6217,0,5.0,0x78a0d616053497a01816997242dc19628a2bbae9
ETH,8648,0,5.0,0x0000000000000000000000000000000000000000
ETH,6292,0,5.0,0x59389a554d044d4b3bed659834a248c59957f168
ETH,5766,0,5.0,0x911c819565da29661e97381cbde506acf7aabf65
ETH,929,0,5.0,0x5088d623ba0fcf0131e0897a91734a4d83596aa0
ETH,7893,0,5.0,0x4e5c9fd685dcc9abede1cbde4959039388bf7c5a
ETH,2958,0,5.0,0xaa9164cc61c67064351596c21760491616aa95f4
ETH,5849,0,5.0,0xbd744e3f13d79b33f6c8e1d5e32f8e9ba2866c46
ETH,3259,0,5.0,0x1b7047b4338acf65be94c1a3e8c5c9338ad7d67c
